"UPDATE_DATE","CITY","HOSPITAL","PROG_SERV","NUM_CLOSE","REASON","PERC_BED_OP","HIST_AVG_OCC","START_DATE","ANTICP_END_DATE"
2021-09-20,"×","Edmonton","Royal Alexandra Hospital","Program or Service: Emergency Department","Number of Closures: 6 out of 56 Care Spaces","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 89%",NA,"2021-06-26"
2021-09-20,"×","Anticipated End Date: September 30, 2021",NA,NA,NA,NA,NA,NA,NA
2021-09-20,"×","Fort Vermillion","St. Theresa General Hospital","Program or Service: Acute Care","Bed or Space Reduction: 10 out of 26 Acute Care Beds","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 54%",NA,"2021-05-01"
2021-09-20,"×","Anticipated End Date: October 31, 2021",NA,NA,NA,NA,NA,NA,NA
2021-09-20,"×","St. Paul","St. Therese - St. Paul Healthcare Centre","Program or Service: Acute Care","Bed or Space Reduction: 10 out of 42 Acute Care Beds","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 76%",NA,"2021-06-07"
2021-09-20,"×","Anticipated End Date: September 30, 2021",NA,NA,NA,NA,NA,NA,NA
2021-09-20,"×","Lac la Biche","William J. Cadzow - Lac la Biche Healthcare Centre","Program or Service: Acute Care","Bed or Space Reduction: 4 out of 23 Acute Care Beds","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 83%",NA,"2021-07-02"
2021-09-20,"×","Anticipated End Date: September 22, 2021",NA,NA,NA,NA,NA,NA,NA
2021-09-20,"×","Hanna","Hanna Health Centre","Program or Service: Acute Care","Bed or Space Reduction: 7 out of 17 Acute Care Beds","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 59%",NA,"2021-07-21"
2021-09-20,"×","Anticipated End Date: September 21, 2021",NA,NA,NA,NA,NA,NA,NA
2021-09-20,"×","Red Deer","Red Deer Regional Hospital","Program or Service: Acute Care","Bed or Space Reduction: 6 out of 370 Acute Care Beds","Reason: Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Percentage of Beds or Spaces in Operation: 98%",NA,"2021-07-07"
2021-09-20,"×","Anticipated End Date: September 9, 2021",NA,NA,NA,NA,NA,NA,NA
