"UPDATE_DATE","CITY","HOSPITAL","PROG_SERV","NUM_CLOSE","REASON","PERC_BED_OP","HIST_AVG_OCC","START_DATE","ANTICP_END_DATE"
2021-08-27,"Edmonton","Royal Alexandra Hospital","Emergency Department","Number of Closures: 6 out of 56 Care Spaces","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","89%","Average over last 3 months is approx 190-200 patient visits per day",2021-06-26,"2021-09-30"
2021-08-27,"Edmonton","Royal Alexandra Hospital","Surgery","Number of Closures: 4 out of 4 Operating Rooms","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","Start and Anticipated End Date: August 24, 2021 to August 27, 2021","Start and Anticipated End Date: September 1, 2021 to September 4, 2021",NA,NA
2021-08-27,"Edmonton","Bed or Space Reduction: 2 out of 14 Operating Rooms","Reason: Temporary lack of physician coverage","Percentage of Beds or Spaces in Operation: 86%","Historical Average Occupancy: N / A","Start Date: July 26, 2021","Anticipated End Date: August 26, 2021",NA,NA
2021-08-27,"Fort Vermillion","St. Theresa General Hospital","Acute Care","Bed or Space Reduction: 12 out of 26 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","54%","March 45.4%",2021-05-01,"2021-09-15"
2021-08-27,"St. Paul","St. Therese - St. Paul Healthcare Centre","Acute Care","Bed or Space Reduction: 10 out of 42 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","76%","February 65%, March 80%, April 85%",2021-06-07,"2021-08-31"
2021-08-27,"Westlock","Westlock Healthcare Centre","Acute Care","Bed or Space Reduction: 10 out of 46 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","78%","April 81%, May 71%, June 67%",2021-07-26,"2021-08-31"
2021-08-27,"Lac la Biche","William J. Cadzow - Lac la Biche Healthcare Centre","Acute Care","Bed or Space Reduction: 8 out of 23 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","65%","April 80%, May 75%, June 75%",2021-07-02,"2021-09-08"
2021-08-27,"Hanna","Hanna Health Centre","Acute Care","Bed or Space Reduction: 7 out of 17 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","59%","June 43.5%",2021-07-21,"2021-09-21"
2021-08-27,"Lacombe","Lacombe Hospital","Acute Care","Bed or Space Reduction: 11 out of 35 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","69%","June 87.5%",2021-07-08,"2021-09-03"
2021-08-27,"Red Deer","Red Deer Regional Hospital","Acute Care","Bed or Space Reduction: 6 out of 370 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","98%","May 101%, June 95%, July 98%",2021-07-07,"2021-09-09"
2021-08-27,"Rocky Mountain House","Rocky Mountain House Health Centre","Acute Care","Bed or Space Reduction: 6 out of 31 Acute Care Beds","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","81%","Summer occupancy ranges between 58-80%",2021-07-05,"2021-08-31"
2021-08-27,"Galahad","Galahad Care Centre","Long-Term Care","Bed or Space Reduction: 20 out of 20 LTC Beds. All patients accommodated in other locations.","Temporary staff shortage due to vacation, vacancies, ongoing recruitment","0%","N / A",2021-06-02,"2021-08-31"
